DESTINATION,NAME,DESCRIPTION,SM/REFERENCE LINKS,LOCATION (Google Maps Link),Type,Tags,Area
Riyadh,Padel Rush,"premium padel club in Riyadh, located in Boulevard City, offering high-quality indoor and outdoor courts for all skill levels. Whether you’re a beginner or a pro, it’s the perfect place to play, train, compete",https://www.instagram.com/padelrush/,https://maps.app.goo.gl/iRXHemxEWdWktH3H7,Sports ,"padel, sports club, padel courts, racket sport, training sessions, tournaments, group activity, fitness activity, indoor courts, outdoor courts"," Hittin, Riyadh "
Riyadh,BOUNCE Riyadh,"a high-energy indoor trampoline park offering wall-to-wall trampolines, dodgeball courts, slam dunk zones, and ninja-style obstacle courses. It’s the ultimate spot to jump, flip, and enjoy an adrenaline-filled experience with friends and family.",https://bounce.sa/en/,https://maps.app.goo.gl/A2Rp5ctsz78zP1Tr5,Sports,"trampoline park, jumping, freestyle, indoor games,"," Khurais Br Rd, Ar Rawdah, Riyadh "
Riyadh,GRAVITY WORLD,"a large indoor entertainment center in Riyadh offering a wide range of physical and adventure activities, including trampolines, rock climbing, zip lines, high ropes, and more",https://www.instagram.com/gravityksa/?hl=en,https://maps.app.goo.gl/32xxkj7Lnr5PfYfB7,Adventure Sports,"indoor games, rock climbing, zip line, high ropes, soft play, arcade","Asir St, Dhahrat Laban, Riyadh "
Riyadh,Aquarabia Qiddiya City ,"Aquarabia Qiddiya City is a large-scale water park featuring thrilling water rides, pools, and entertainment attractions, offering a fun and adventurous experience for visitors of all ages.",https://www.instagram.com/aquarabiaqc?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/dxJhYDc8wCDwniA77?g_st=ic,Entertainment,"water park, family, adventure, Qiddiya", Al Moqbel Palaces 
Riyadh,North Yard,"A modern lifestyle destination that combines cafes, restaurants, and retail spaces in a stylish outdoor setting, making it a perfect spot for social gatherings and relaxing experiences.",No SM/REFERENCE LINKS,https://maps.app.goo.gl/8CiwD7794aq3X6xh7?g_st=ic,tourist place,"cafes, restaurants, outdoor, lifestyle, social, friends, dining","Prince Turki Ibn Abdulaziz Al Awwal Rd, Riyadh "
Riyadh,Pixels Games ,"A fun and interactive entertainment center offering a variety of arcade games, immersive experiences, and group activities. Perfect for friends and families looking for excitement, competition, and a lively indoor atmosphere.",https://www.instagram.com/pixelsgamingsa?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/SiRTMjuZufEmgBAk8?g_st=ic,Entertainment,"arcade, games, indoor, entertainment, family, friends, group activities, fun, interactive, leisure","Abi Bakr As Siddiq Rd, Alyasmin, Riyadh "
Riyadh,404 Not found ,"A unique gaming and entertainment spot combining arcade machines, board games, and social play areas in a modern indoor setting. Perfect for friends and groups to enjoy fun challenges, casual games, and a lively atmosphere.",https://www.instagram.com/wefound404?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/KadYoScLf6cjxcGq8?g_st=ic,Entertainment,"arcade, board games, indoor, entertainment, gaming, friends, group activities, social, fun, leisure","As Sawalimah, Al Muruj, Riyadh "
Riyadh,Battlekart Game,"An exciting indoor karting experience where players drive electric karts through interactive digital tracks, combining real racing with video game elements. Perfect for adrenaline lovers, friends, and group competitions in a high-energy environment.",https://www.instagram.com/battlekart_ruh?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/zFUgGFe9ocYVnZk89?g_st=ic,Entertainment,"karting, racing, indoor, entertainment, adventure, gaming, interactive, friends, group activities, adrenaline"," Al Bahar Al Arabi, Ishbiliyah, Riyadh "
Riyadh,teen's area ,"A vibrant entertainment spot designed for teens, featuring a mix of skating, arcade games, and interactive activities in a modern indoor space. Perfect for hanging out with friends, enjoying music, and experiencing a fun, energetic atmosphere.",https://www.instagram.com/teens_ksa?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/2yzWn8w6KhVcezX48?g_st=ic,Entertainment,"teens, skating, arcade, indoor, entertainment, friends, group activities, fun, social, youth"," Khalid Bin Al Waleed Rd, Qurtubah, Riyadh "
Riyadh,Xbowl Club,"A modern bowling and entertainment venue featuring vibrant neon-lit lanes, arcade games, and social spaces. Perfect for friends, families, and group outings looking for fun, competition, and a lively indoor atmosphere.",https://www.instagram.com/xbowl_club?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/RTTkJihJUmXdJ6Gs5?g_st=ic,Entertainment,"bowling, arcade, indoor, entertainment, games, friends, family, group activities, fun, social","Qurtubah, Riyadh "
Riyadh,The Box Escape Experience,"An immersive escape room experience offering creative storylines, challenging puzzles, and interactive missions. Perfect for friends and groups looking for teamwork, problem-solving, and a thrilling adventure.",https://www.instagram.com/experiencethebox_?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/3ePqbpG4VyUSsici8?g_st=ic,Entertainment,"escape room, puzzles, indoor, entertainment, adventure, teamwork, friends, group activities, immersive, challenge","Al Imam Saud Ibn Faysal Rd, Al Malqa, Riyadh "
Riyadh,Padel Arena,A premium padel club offering high-quality courts with a unique view overlooking the iconic Kingdom Tower. Perfect for sports lovers and friends looking to enjoy padel in a vibrant outdoor setting with a stunning city backdrop.,https://www.instagram.com/padel.arena.sa?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/SBRyEpLKVYAiDRto6?g_st=ic,Sports,"padel, sports, outdoor, fitness, friends, group activities, courts, active, leisure, kingdom tower view","King Fahd Rd, Al Olaya, Riyadh "
Riyadh,Olaya Park,"Olaya Park is a small urban park located in the Olaya district, offering green spaces, walking paths, and a relaxing environment for families and visitors.",https://www.visitsaudi.com/en,"https://www.google.com/maps/place/Al-Olaya+Park/@24.680487,46.6825655,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2f03538dfcb473:0x8c221e943bee72a3!8m2!3d24.680487!4d46.6825655!16s%2Fg%2F11smrb_4pc?hl=en&entry=ttu&g_ep=EgoyMDI2MDMzMS4wIKXMDSoASAFQAw%3D%3D",Park,"park, walking, family, outdoor, green"," Abi Bakr Al Baqilani, Al OlayaRiyadh "
Riyadh,Terracotta Pottery Studio,"A cozy pottery studio offering hands-on ceramic classes in a calm and creative environment. Designed exclusively for women, it provides a unique space to learn, create, and enjoy a relaxing artistic experience.",https://www.instagram.com/terracotta_ksa?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/BMarUCez4jsD5prz5?g_st=ic,art,"pottery, art, workshop, indoor, creative, classes, women only, relaxing, handmade, experience"," Al Hufuf Rd, Al Yasmin District, First Floor (Left Door), Riyadh, Saudi Arabia"
Riyadh,Amazonia,"Amazonia Farm is a peaceful farm located in Al Ammariyah near Riyadh, offering fresh produce such as strawberries and berries, along with coffee and pastries in a relaxing rural atmosphere. Visitors can enjoy walking through the farm and experiencing nature up close.",https://www.tiktok.com/@amazonia.ksa?_r=1&_t=ZS-95Cysqsdv8P,"https://www.google.com/maps/place/%D8%A3%D9%85%D8%A7%D8%B2%D9%88%D9%86%D9%8A%D8%A7+%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D8%B1%D9%8A%D8%A9+%7C+Amazonia%E2%80%AD/@24.7841189,46.1148525,11z/data=!4m10!1m2!2m1!1sAmazonia+Riyadh!3m6!1s0x3e2edb8aeecf0c7f:0x53cf7a50cc683523!8m2!3d24.7841189!4d46.4197231!15sCg9BbWF6b25pYSBSaXlhZGhaESIPYW1hem9uaWEgcml5YWRokgELY29mZmVlX3Nob3CaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnMxYTA5SWFHWlpNbkJNVjIxNE1rMXRlRVZYYWxaSFQwWlNSbEV6WXhBQuABAPoBBAgAEDc!16s%2Fg%2F11xgszv7vp?hl=en&entry=ttu&g_ep=EgoyMDI2MDMzMS4wIKXMDSoASAFQAw%3D%3D",Farm,"farm, nature, strawberries, berries, coffee, outdoor, rural, relaxing, family","King Salman Road, Riyadh "
Riyadh,Sandbox VR,an immersive VR experience where you play and interact with friends inside virtual worlds.,https://www.instagram.com/sand.boxvrksa?igsh=NWNxYncwcnN6Y25l,https://maps.app.goo.gl/ZgYXzXpEoL1bF17N7?g_st=ic,Entertainment,"VR, Gaming, Immersive, Fun",King Khalid
Riyadh,House of Hype Riyadh,"House of Hype is a trendy entertainment venue in Riyadh offering immersive experiences, interactive games, and vibrant themed environments, making it a popular destination for youth and social gatherings.",https://riyadh.platinumlist.net/ar/event-tickets/house-of-hype-riyadh/,"https://www.google.com/maps/place/House+of+Hype/@24.7678613,46.6043777,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2ee3fad7817729:0x19b9d8f5a38b2e90!8m2!3d24.7678613!4d46.6043777!16s%2Fg%2F11vbyq6m01?hl=en&entry=ttu&g_ep=EgoyMDI2MDMzMS4wIKXMDSoASAFQAw%3D%3D",Entertainment,"entertainment, games, immersive, youth, social, trendy","Riyadh BLVD, Hittin, Saudi Arabia
"
Riyadh,Splash Spectrum,"a fun, interactive experience where you create colorful digital art in an immersive, sensory environment.",https://www.instagram.com/splashspectrumksa?igsh=dm15Ym4yYWtteDFy,https://maps.app.goo.gl/uGMnGqnSkQf1WA3N9?g_st=ic,art,"ArtExperience, Interactive, Immersive, Fun, Colors","Othman Bin Affan Road, Branch, Riyadh "
Riyadh,Pure yoga,"A modern yoga studio offering a variety of classes, including aerial yoga, in a calm and stylish environment. Perfect for relaxation, fitness, and improving flexibility and overall well-being.",https://www.instagram.com/pureyogasa?igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/9UrUy7cfz7jRVMWP8?g_st=ic,Sports,"yoga, fitness, wellness, indoor, classes, relaxation, flexibility, health, aerial yoga, studio","Muhammad Ali Junah, Ghirnatah, Riyadh "
Riyadh,SUNSHINE SPACE,"an immersive entertainment space with interactive rooms, lights, and fun photo experiences.",https://www.instagram.com/sunshin.space?igsh=ZnJoYmMxY3d5eng2,https://maps.app.goo.gl/qJPi5Pz1gPgVWXiT7?g_st=ic,art,"Immersive, Interactive, Fun, Experience, Photos","Bahr Al Arab Street, Al Khaleej District, Riyadh "
Riyadh,Big Fun Family,"Big Fun Family is an indoor entertainment center in Riyadh offering a wide range of games, rides, and activities designed for children and families, making it a great destination for fun and family outings.",https://arabia.bigfun.family/en/home/,"https://www.google.com/maps/place/big+fun+museum/@24.8262315,46.7234341,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2efd0b94f5eef9:0xeecb748a8e258794!8m2!3d24.8262316!4d46.728305!16s%2Fg%2F11l6bsxxyf?hl=en&entry=ttu&g_ep=EgoyMDI2MDMzMS4wIKXMDSoASAFQAw%3D%3D",Entertainment,"kids, family, games, indoor, fun, playground, activities","Qurtubah, Riyadh "
Riyadh,The Esplanade,modern open-,https://www.instagram.com/esplanade_ruh?igsh=d2d1eWEwcGFta2lj,https://maps.app.goo.gl/VaTKpyDksieKgRHs5?g_st=ic,open-air shopping center,"shopping, restaurants&café, Entertainment",prince turki al awwal road
Riyadh,Glamping Resort,"Glamping Resort is a luxury outdoor experience near Riyadh that combines camping with comfort, offering stylish tents, cozy seating areas, and a relaxing atmosphere in the desert, making it ideal for unique stays and nature lovers.",https://glamping-resort.hotels-saudi-arabia.com/en/,"https://www.google.com/maps/place/Glamping+Resort/@24.4206553,46.613054,17z/data=!4m9!3m8!1s0x3e2f0fd1b0368ea1:0x36151cfd06a74898!5m2!4m1!1i2!8m2!3d24.4206553!4d46.6108653!16s%2Fg%2F11shpcjxhq?hl=en&entry=ttu&g_ep=EgoyMDI2MDMzMS4wIKXMDSoASAFQAw%3D%3D",Resort,"glamping, camping, desert, luxury, outdoor, nature, relaxation, unique stay","Dirab Rd, Riyadh "
Riyadh,MoFun Studio,"a creative art space where you can enjoy painting and fun hands-on activities in a relaxed, social atmosphere",https://www.instagram.com/mofunstudiosa/?hl=en,https://maps.app.goo.gl/NrT6BTV395QuMRSh7,art,"VR, Gaming, Immersive, Fun","Raden Center, Olaya St, Raden Center, Olaya St, Al Olaya, Floor1"
Riyadh,Enter10 Bowling,"a modern entertainment spot offering bowling, arcade games, and fun group activities in a lively atmosphere.",https://www.instagram.com/enter10bowling/,https://maps.app.goo.gl/NF6PBvd7J9ThUvPm9,Entertainment,"Bowling, Arcade, Entertainment, Games, Fun, GroupActivities",Al Hamra District King Abdullah Road 
Riyadh,Joy Zone,"Joy Zone is an indoor entertainment center in Riyadh offering a variety of games, activities, and fun experiences for children and families in a lively environment.",https://joyzone.com.sa/,"https://www.google.com/maps/place/Joy+Zone+%7C+%D8%AC%D9%88%D9%8A+%D8%B2%D9%88%D9%86%E2%80%AD/@24.7651238,46.1441378,10z/data=!4m10!1m2!2m1!1sJoy+Zone+Riyadh!3m6!1s0x3e2f01dfe42bb5d3:0x9c2a1b44936a4b02!8m2!3d24.7651238!4d46.753879!15sCg9Kb3kgWm9uZSBSaXlhZGhaESIPam95IHpvbmUgcml5YWRokgEZY2hpbGRyZW5fYW11c2VtZW50X2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOYWVIUkRRMWxCRUFF4AEA-gEFCLMBECY!16s%2Fg%2F11k9bl3p63?hl=en&entry=ttu&g_ep=EgoyMDI2MDMzMS4wIKXMDSoASAFQAw%3D%3D",Entertainment,"kids, family, games, indoor, fun, activities, playground","King Abdullah Branch Rd, Al Quds, Riyadh "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
